"REF_DATE","GEO","DGUID","Sector","Fare type group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-01","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","238.00","","","","2"
"2007-01","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","2398.30","E","","t","2"
"2007-01","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","252.80","","","t","2"
"2007-01","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","238.10","","","t","2"
"2007-01","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","87.30","E","","t","2"
"2007-01","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","178.10","","","","2"
"2007-01","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1230.40","E","","t","2"
"2007-01","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","235.40","","","t","2"
"2007-01","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","176.80","","","t","2"
"2007-01","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","14.20","E","","t","2"
"2007-01","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","130.10","","","","2"
"2007-01","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","903.80","E","","t","2"
"2007-01","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","186.40","","","t","2"
"2007-01","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","128.40","","","t","2"
"2007-01","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","16.20","E","","t","2"
"2007-01","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2007-01","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2007-01","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2007-01","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2007-01","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-01","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","320.10","","","","2"
"2007-01","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","2611.20","E","","t","2"
"2007-01","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","325.70","E","","t","2"
"2007-01","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","320.70","","","t","2"
"2007-01","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","131.10","E","","t","2"
"2007-04","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","238.80","","","","2"
"2007-04","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","2498.40","E","","t","2"
"2007-04","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","261.90","","","t","2"
"2007-04","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","240.20","","","t","2"
"2007-04","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","60.50","E","","t","2"
"2007-04","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","184.20","","","","2"
"2007-04","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1568.50","E","","t","2"
"2007-04","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","254.10","","","t","2"
"2007-04","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","183.50","","","t","2"
"2007-04","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","17.00","","","t","2"
"2007-04","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","136.00","","","","2"
"2007-04","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","983.90","E","","t","2"
"2007-04","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","192.80","","","t","2"
"2007-04","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","134.60","","","t","2"
"2007-04","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","17.20","","","t","2"
"2007-04","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2007-04","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2007-04","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2007-04","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2007-04","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-04","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","335.70","","","","2"
"2007-04","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","2654.70","E","","t","2"
"2007-04","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","324.00","","","t","2"
"2007-04","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","339.30","","","t","2"
"2007-04","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","102.10","E","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","261.20","","","","2"
"2007-07","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","2496.30","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","297.00","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","261.00","","","t","2"
"2007-07","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2007-07","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","200.60","","","","2"
"2007-07","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1490.60","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","292.70","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","198.30","","","t","2"
"2007-07","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","16.20","E","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","144.10","","","","2"
"2007-07","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","822.00","E","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","214.40","","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","141.70","","","t","2"
"2007-07","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","16.00","E","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2007-07","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2007-07","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2007-07","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","372.50","","","","2"
"2007-07","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","2806.10","","","t","2"
"2007-07","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","362.80","","","t","2"
"2007-07","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","372.40","","","t","2"
"2007-07","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","","F","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","247.30","","","","2"
"2007-10","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","3217.80","E","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","280.50","","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","245.60","","","t","2"
"2007-10","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
